Region Name,Country
African Region,Algeria
African Region,Angola
African Region,Benin
African Region,Botswana
African Region,Burkina Faso
African Region,Burundi
African Region,Cabo Verde
African Region,Cameroon
African Region,Central African Republic
African Region,Chad
African Region,Comoros
African Region,Congo
African Region,Cote d’Ivoire
African Region,Democratic Republic of the Congo
African Region,Equatorial Guinea
African Region,Eritrea
African Region,Eswatini
African Region,Ethiopia
African Region,Gabon
African Region,Gambia
African Region,Ghana
African Region,Guinea
African Region,Guinea-Bissau
African Region,Kenya
African Region,Lesotho
African Region,Liberia
African Region,Madagascar
African Region,Malawi
African Region,Mali
African Region,Mauritania
African Region,Mauritius
African Region,Mozambique
African Region,Namibia
African Region,Niger
African Region,Nigeria
African Region,Rwanda
African Region,Sao Tome and Principe
African Region,Senegal
African Region,Seychelles
African Region,Sierra Leone
African Region,South Africa
African Region,South Sudan
African Region,Togo
African Region,Uganda
African Region,United Republic of Tanzania
African Region,Zambia
African Region,Zimbabwe
Eastern Mediterranean Region,Afghanistan
Eastern Mediterranean Region,Bahrain
Eastern Mediterranean Region,Djibouti
Eastern Mediterranean Region,Egypt
Eastern Mediterranean Region,Iran (Islamic Republic of)
Eastern Mediterranean Region,Iraq
Eastern Mediterranean Region,Jordan
Eastern Mediterranean Region,Kuwait
Eastern Mediterranean Region,Lebanon
Eastern Mediterranean Region,Libya
Eastern Mediterranean Region,Morocco
Eastern Mediterranean Region,Oman
Eastern Mediterranean Region,Pakistan
Eastern Mediterranean Region,Qatar
Eastern Mediterranean Region,Saudi Arabia
Eastern Mediterranean Region,Somalia
Eastern Mediterranean Region,Sudan
Eastern Mediterranean Region,Syrian Arab Republic
Eastern Mediterranean Region,Tunisia
Eastern Mediterranean Region,United Arab Emirates
Eastern Mediterranean Region,Yemen
European Region,Albania
European Region,Andorra
European Region,Armenia
European Region,Austria
European Region,Azerbaijan
European Region,Belarus
European Region,Belgium
European Region,Bosnia and Herzegovina
European Region,Bulgaria
European Region,Croatia
European Region,Cyprus
European Region,Czech Republic
European Region,Denmark
European Region,Estonia
European Region,Finland
European Region,France
European Region,Georgia
European Region,Germany
European Region,Greece
European Region,Hungary
European Region,Iceland
European Region,Ireland
European Region,Israel
European Region,Italy
European Region,Kazakhstan
European Region,Kyrgystan
European Region,Latvia
European Region,Lithuania
European Region,Luxembourg
European Region,Malta
European Region,Monaco
European Region,Montenegro
European Region,Netherlands
European Region,North Macedonia
European Region,Norway
European Region,Poland
European Region,Portugal
European Region,Republic of Moldova
European Region,Romania
European Region,Russian Federation
European Region,San Marino
European Region,Serbia
European Region,Slovakia
European Region,Slovenia
European Region,Spain
European Region,Sweden
European Region,Switzerland
European Region,Tajikistan
European Region,Turkey
European Region,Turkmenistan
European Region,Ukraine
European Region,United Kingdom of Great Britain and Northen Ireland
European Region,Uzbekistan
Region of the Americas,Antigua and Barbuda
Region of the Americas,Argentina
Region of the Americas,Bahamas
Region of the Americas,Barbados
Region of the Americas,Belize
Region of the Americas,Bolivia (Plurinational State of)
Region of the Americas,Brazil
Region of the Americas,Canada
Region of the Americas,Chile
Region of the Americas,Colombia
Region of the Americas,Costa Rica
Region of the Americas,Cuba
Region of the Americas,Dominica
Region of the Americas,Dominican Republic
Region of the Americas,Ecuador
Region of the Americas,El Salvador
Region of the Americas,Grenada
Region of the Americas,Guatemala
Region of the Americas,Guyana
Region of the Americas,Haiti
Region of the Americas,Honduras
Region of the Americas,Jamaica
Region of the Americas,Mexico
Region of the Americas,Nicaragua
Region of the Americas,Panama
Region of the Americas,Paraguay
Region of the Americas,Peru
Region of the Americas,Saint Kitts and Nevis
Region of the Americas,Saint Lucia
Region of the Americas,Saint Vicent and the Grenadines
Region of the Americas,Suriname
Region of the Americas,Trinidad and Tobago
Region of the Americas,United States of America
Region of the Americas,Uruguay
Region of the Americas,Venezuela (Bolivaria Republic of)
South-East Asia Region,Bangladesh
South-East Asia Region,Bhutan
South-East Asia Region,Democratic People’s Republic of Korea
South-East Asia Region,India
South-East Asia Region,Indonesia
South-East Asia Region,Maldives
South-East Asia Region,Myanmar
South-East Asia Region,Nepal
South-East Asia Region,Sri Lanka
South-East Asia Region,Thailand
South-East Asia Region,Timor-Lest
